idfa	1rfw452y52g2gq4g	55.55	42.42	1423,43,567,3,7,23
idfa	2rfw452y52g2gq4g	55.55	42.42	2423,43,567,3,7,23
idfa	3rfw452y52g2gq4g	55.55	42.42	3423,43,567,3,7,23
idfa	4rfw452y52g2gq4g	55.55	42.42	4423,43,567,3,7,23
idfa	5rfw452y52g2gq4g	55.55	42.42	5423,43,567,3,7,23
gaid	6rfw452y52g2gq4g	55.55	42.42	6423,43,567,3,7,23
gaid	7rfw452y52g2gq4g	55.55	42.42	7423,43,567,3,7,23
gaid	8rfw452y52g2gq4g	55.55	42.42	8423,43,567,3,7,23
gaid	9rfw452y52g2gq4g	55.55	42.42	9423,43,567,3,7,23
gaid	10fw452y52g2gq4g	55.55	42.42	1023,43,567,3,7,23
